"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"TestSuite 1","TestCase 1","BooksRequest","restrequest","UNKNOWN","","19-Mar-2021 23_36",
"TestSuite 1","TestCase 1","InsertFirstRow","groovy","OK","","19-Mar-2021 23_36",
"TestSuite 1","TestCase 1","JDBC","jdbc","UNKNOWN","","19-Mar-2021 23_36",
"TestSuite 1","TestCase 1","ValidateRow","jdbc","UNKNOWN","","19-Mar-2021 23_36",
"TestSuite 1","TestCase 1","Script1","groovy","OK","","19-Mar-2021 23_36",
